ID,Cemetery,Year,TS,PPA,tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Artifact Class,Artifact type,Proportion,"Long section (Cylindrical, biconical, barrel)","Trans section (Round, flat, rectangular)",Material gen,Material spec,Color,Color Munsell,Status (Entire/broken),Stage,"Surface traces (Chipped, Ground, Polished, Worn)",Length MAX,Length MIN,(Length A-B) - From end to centre for bicones and barrels,(Length B-C) - From end to centre for bicones and barrels,Thickness (cm),Dia MAX (cm),Length (cm),Dia MIN (cm),Width (cm),Hole Dia 1 (cm),Hole Dia 2 (cm),Perforation tech (Drilling / Pecking/ind),Drill act (Im) (Drilling actions (Impression) Single /multiple/stepped (No. steps)),Drill direct (Im) (One side / Two sides),"Drill section (Im) - Cylindrical, tapered, conical","Drill surface (Im) - Parallel striae, irregular striae, smoothed, etc.","Drill tech  (Im) - Stone drill, Ernestite drill, Solid copper, Tubular copper","Bead end 1 - Chipped, Ground, Polished","Bead end 2 - Chipped, Ground, Polished",Photo,Notes
TAG6448-AKAP-PG-SF_3533,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3534,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3535,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3536,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3537,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3538,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3539,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3540,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3541,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3542,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3543,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3544,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3545,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3546,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3547,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3548,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3549,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3550,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3551,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3552,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3553,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3554,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3555,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3556,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3557,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3558,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3559,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3560,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3561,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3562,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3563,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3564,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3565,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3566,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3567,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3568,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3569,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3570,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3571,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3572,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3573,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3574,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3575,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3576,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3577,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3578,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3579,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3580,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3581,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3582,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3583,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3584,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3585,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3586,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3587,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3588,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3589,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3590,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3591,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3592,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3593,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3594,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3595,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3596,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3597,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3598,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3599,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3600,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3601,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3602,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3603,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3604,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3605,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3606,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3607,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3608,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3609,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3610,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3611,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3612,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3613,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3614,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3615,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3616,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3617,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3618,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3619,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3620,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3621,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3622,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3623,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3624,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3625,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3626,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3627,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3628,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3629,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3630,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3631,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3632,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3633,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3634,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3635,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3636,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3637,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3638,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3639,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3640,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3641,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3642,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3643,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3644,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3645,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3646,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3647,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3648,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3649,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3650,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3651,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3652,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
TAG6448-AKAP-PG-SF_3653,WT1,2022,,,6448,Q4B,E Trench,,L112,,,,,,Bead,,,,,Ostrich Eggshell,Whitish,,,,,,,,,,0.54200000000000004,,0.363,,,,,,,,,,,,,
